Date,Not indexed,Indexed,Impressions
2025-11-20,,,102
2025-11-21,,,80
2025-11-22,136,84,72
2025-11-23,142,79,92
2025-11-24,142,79,127
2025-11-25,142,79,136
2025-11-26,142,79,196
2025-11-27,142,79,130
2025-11-28,142,79,89
2025-11-29,142,79,75
2025-11-30,142,79,84
2025-12-01,142,79,125
2025-12-02,142,79,120
2025-12-03,142,79,145
2025-12-04,142,79,195
2025-12-05,142,79,101
2025-12-06,142,79,102
2025-12-07,142,79,92
2025-12-08,142,79,103
2025-12-09,142,79,117
2025-12-10,142,79,133
2025-12-11,142,79,85
2025-12-12,142,79,69
2025-12-13,142,79,42
2025-12-14,142,79,82
2025-12-15,142,79,100
2025-12-16,143,78,104
2025-12-17,143,78,93
2025-12-18,143,78,69
2025-12-19,143,78,66
2025-12-20,143,78,61
2025-12-21,143,78,61
2025-12-22,143,78,73
2025-12-23,143,78,88
2025-12-24,145,82,78
2025-12-25,145,82,60
2025-12-26,145,82,69
2025-12-27,145,82,74
2025-12-28,145,82,68
2025-12-29,145,82,81
2025-12-30,145,82,129
2025-12-31,145,82,121
2026-01-01,145,82,86
2026-01-02,145,82,80
2026-01-03,145,82,91
2026-01-04,145,82,127
2026-01-05,145,82,129
2026-01-06,145,82,207
2026-01-07,148,81,153
2026-01-08,148,81,136
2026-01-09,148,81,138
2026-01-10,148,81,169
2026-01-11,146,83,142
2026-01-12,146,83,186
2026-01-13,146,83,238
2026-01-14,145,83,209
2026-01-15,145,83,305
2026-01-16,145,83,207
2026-01-17,145,83,239
2026-01-18,147,81,470
2026-01-19,147,81,456
2026-01-20,147,81,319
2026-01-21,161,82,335
2026-01-22,161,82,327
2026-01-23,161,82,293
2026-01-24,161,82,272
2026-01-25,161,82,286
2026-01-26,161,82,352
2026-01-27,161,82,315
2026-01-28,160,82,317
2026-01-29,160,82,325
2026-01-30,160,82,379
2026-01-31,160,82,223
2026-02-01,157,82,304
2026-02-02,157,82,306
2026-02-03,157,82,235
2026-02-04,136,85,274
2026-02-05,136,85,190
2026-02-06,136,85,131
2026-02-07,136,85,95
2026-02-08,130,84,117
2026-02-09,130,84,154
2026-02-10,130,84,178
2026-02-11,126,84,178
2026-02-12,126,84,191
2026-02-13,126,84,122
2026-02-14,126,84,130